year,checkpoint,calendar_month,simulation_month,promotion,roster,target,cap,cash,runway,stability,free_agents,world_contracted
2050,December,December,300,Oktagon MMA,146,160,184,41742317,3840000,48,408,1773
2050,December,December,300,Professional Fighters League,184,200,224,47061675,4800000,65,408,1773
2050,December,December,300,RIZIN Fighting Federation,160,176,200,39887406,4224000,65,408,1773
2050,December,December,300,Ultimate Fighting Championship,257,280,304,68216850,6720000,50,408,1773
2051,July,July,307,Absolute Championship Akhmat,143,144,168,44332514,3456000,55,409,1822
2051,July,July,307,BAMMA,138,144,168,23091815,3456000,50,409,1822
2051,July,July,307,BRAVE Combat Federation,142,144,168,50933604,3456000,72,409,1822
2051,July,July,307,Cage Warriors,152,160,184,25754839,3840000,54,409,1822
2051,July,July,307,KSW,148,160,184,32187212,3840000,47,409,1822
2051,July,July,307,Legacy Fighting Alliance,144,144,168,33513229,3456000,58,409,1822
2051,July,July,307,ONE Championship,191,200,224,49757302,4800000,60,409,1822
2051,July,July,307,Oktagon MMA,150,160,184,45676219,3840000,51,409,1822
2051,July,July,307,Professional Fighters League,188,200,224,48281113,4800000,68,409,1822
2051,July,July,307,RIZIN Fighting Federation,166,176,200,55810622,4224000,70,409,1822
2051,July,July,307,Ultimate Fighting Championship,260,280,304,71020878,6720000,52,409,1822
2051,December,December,312,Absolute Championship Akhmat,144,144,168,48994479,3456000,58,410,1853
2051,December,December,312,BAMMA,141,144,168,22899331,3456000,51,410,1853
2051,December,December,312,BRAVE Combat Federation,144,144,168,50136266,3456000,72,410,1853
2051,December,December,312,Cage Warriors,157,160,184,27009010,3840000,57,410,1853
2051,December,December,312,KSW,153,160,184,34864854,3840000,50,410,1853
2051,December,December,312,Legacy Fighting Alliance,144,144,168,34001855,3456000,61,410,1853
2051,December,December,312,ONE Championship,192,200,224,49894840,4800000,62,410,1853
2051,December,December,312,Oktagon MMA,152,160,184,56138749,3840000,55,410,1853
2051,December,December,312,Professional Fighters League,192,200,224,54949881,4800000,72,410,1853
2051,December,December,312,RIZIN Fighting Federation,170,176,200,49085551,4224000,70,410,1853
2051,December,December,312,Ultimate Fighting Championship,264,280,304,75047809,6720000,54,410,1853
2052,July,July,319,Absolute Championship Akhmat,144,144,168,60604763,3456000,64,412,1885
2052,July,July,319,BAMMA,144,144,168,23393477,3456000,52,412,1885
2052,July,July,319,BRAVE Combat Federation,144,144,168,55122684,3456000,76,412,1885
2052,July,July,319,Cage Warriors,160,160,184,33069425,3840000,62,412,1885
2052,July,July,319,KSW,157,160,184,36261264,3840000,52,412,1885
